Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PERUSAHAAN GAS NEGARA - FREE FLOAT NOSH,43,43,43,43,43,43,43,43,43,43,43
PAKUWON JATI - Board Size,NA,NA,3,8,8,8,3,3,3,3,NA
PAKUWON JATI - Current CEO Chairman Duality,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
PAKUWON JATI - CSR Sustainability Committee,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
PAKUWON JATI - FREE FLOAT NOSH,48,42,48,44,30,31,31,31,31,31,31
LIPPO KARAWACI - Board Size,9,8,6,5,6,5,5,6,6,8,NA
LIPPO KARAWACI - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
LIPPO KARAWACI - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
LIPPO KARAWACI - FREE FLOAT NOSH,82,77,77,60,36,40,48,46,46,48,48
CHAROEN POKPHAND INDO. - Board Size,6,6,4,3,3,3,NA,3,3,4,NA
CHAROEN POKPHAND INDO. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,NA,N   ,N   ,N   ,NA
CHAROEN POKPHAND INDO. - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
CHAROEN POKPHAND INDO. - FREE FLOAT NOSH,44,44,44,44,44,44,44,44,44,44,44
TELEKOMUNIKASI INDONESIA - Board Size,8,8,8,8,10,6,9,9,9,10,NA
TELEKOMUNIKASI INDONESIA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
TELEKOMUNIKASI INDONESIA - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
TELEKOMUNIKASI INDONESIA - FREE FLOAT NOSH,49,49,49,49,49,48,48,48,48,48,48
SURYA CITRA MEDIA - Board Size,4,5,5,5,5,5,4,4,4,4,NA
SURYA CITRA MEDIA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SURYA CITRA MEDIA - CSR Sustainability Committee,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SURYA CITRA MEDIA - FREE FLOAT NOSH,27,38,38,39,39,40,33,39,39,39,39
SARANA MENARA NUSANTARA - Board Size,NA,NA,NA,NA,NA,4,4,5,5,5,NA
SARANA MENARA NUSANTARA - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
SARANA MENARA NUSANTARA - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,Y   ,Y   ,Y   ,Y   ,NA
SARANA MENARA NUSANTARA - FREE FLOAT NOSH,67,59,59,57,40,40,41,40,46,41,41
SUMMARECON AGUNG - Board Size,4,7,7,4,9,6,5,5,5,5,NA
SUMMARECON AGUNG - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SUMMARECON AGUNG - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
SUMMARECON AGUNG - FREE FLOAT NOSH,62,62,62,62,54,54,54,60,66,66,66
BUKIT ASAM - Board Size,6,6,6,6,6,6,6,7,6,6,NA
BUKIT ASAM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
BUKIT ASAM - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
BUKIT ASAM - FREE FLOAT NOSH,35,35,35,35,NA,NA,34,34,34,34,34
TOWER BERSAMA INFR. - Board Size,5,5,4,4,4,4,4,4,4,4,NA
TOWER BERSAMA INFR. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
TOWER BERSAMA INFR. - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
TOWER BERSAMA INFR. - FREE FLOAT NOSH,41,45,48,45,45,45,41,44,28,16,11
UNILEVER INDONESIA - Board Size,5,5,5,5,5,5,6,6,6,6,NA
UNILEVER INDONESIA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
UNILEVER INDONESIA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
UNILEVER INDONESIA - FREE FLOAT NOSH,15,15,15,15,15,15,15,15,15,15,15
UNITED TRACTORS - Board Size,7,6,6,6,6,6,6,6,6,6,NA
UNITED TRACTORS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
UNITED TRACTORS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
UNITED TRACTORS - FREE FLOAT NOSH,41,41,41,41,41,41,41,41,41,41,41
WASKITA KARYA (PERSERO) - Board Size,NA,5,6,6,7,7,8,9,7,6,NA
WASKITA KARYA (PERSERO) - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
WASKITA KARYA (PERSERO) - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
WASKITA KARYA (PERSERO) - FREE FLOAT NOSH,32,34,34,34,28,28,34,34,16,25,25
XLSMART TELECOM - Board Size,7,7,8,9,9,9,9,8,7,7,NA
XLSMART TELECOM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
XLSMART TELECOM - CSR Sustainability Committee,N   ,N   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
XLSMART TELECOM - FREE FLOAT NOSH,34,34,47,34,34,34,34,34,39,34,34
ADVANTEST - Board Size,13,10,12,9,9,12,11,11,11,11,NA
ADVANTEST - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ADVANTEST - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
ADVANTEST - FREE FLOAT NOSH,93,81,73,78,74,73,76,75,87,100,88
JAPAN TOBACCO - Board Size,8,8,7,7,7,9,9,9,10,9,NA
JAPAN TOBACCO - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
JAPAN TOBACCO - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,N   ,NA
JAPAN TOBACCO - FREE FLOAT NOSH,67,67,67,67,67,67,67,67,67,67,67
ASAHI KASEI - Board Size,10,12,10,9,9,7,9,9,9,8,10
ASAHI KASEI - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
ASAHI KASEI - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
ASAHI KASEI - FREE FLOAT NOSH,95,95,95,94,90,87,94,94,100,100,100
ACCESS - Board Size,6,5,5,6,5,6,6,6,6,6,7
