No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
84,JP3526600006,2015,0.83,1.15,201.42
84,JP3526600006,2016,0.67,3.62,167.34
84,JP3526600006,2017,0.65,2.58,162.82
85,JP3242800005,2014,1.22,5.86,0.07
85,JP3242800005,2015,1.6,4.96,0.05
85,JP3242800005,2016,1.22,3.16,22.03
85,JP3242800005,2017,1.41,4.69,18.55
86,JP3992400006,2014,0.62,3.88,8.85
86,JP3992400006,2015,0.92,2.99,6.47
86,JP3992400006,2016,0.72,3.79,5.41
86,JP3992400006,2017,0.82,4.28,3.49
87,JP3298000005,2015,,,414.41
87,JP3298000005,2016,0.73,-2.64,701.37
87,JP3298000005,2017,0.61,4.27,477.7
88,JP3305960001,2014,8.29,42.89,0
88,JP3305960001,2015,7.31,36.63,0
88,JP3305960001,2016,4.33,31.74,0
88,JP3305960001,2017,2.07,11.81,0
89,JP3165700000,2014,1.32,1.66,61.02
89,JP3165700000,2015,2.04,2.03,57.79
89,JP3165700000,2016,2,3.69,54.94
89,JP3165700000,2017,1.98,3.47,81.48
90,JP3305990008,2014,,0.46,70.07
90,JP3305990008,2015,,0.54,178.17
90,JP3305990008,2016,0.57,0.5,110.41
90,JP3305990008,2017,0.57,0.76,185.12
91,JP3519400000,2014,2.47,7.33,0.04
91,JP3519400000,2015,3.4,8.29,0.12
91,JP3519400000,2016,3.26,6.96,0.1
91,JP3519400000,2017,3.33,9.11,0.05
92,JP3249600002,2014,0.74,3.69,1.88
92,JP3249600002,2015,1.06,4.16,1.42
92,JP3249600002,2016,0.87,3.61,1.43
92,JP3249600002,2017,1.02,3.37,1.06
93,JP3243600008,2014,0.79,3.51,1.67
93,JP3243600008,2015,1.06,3.35,1.66
93,JP3243600008,2016,0.93,3.82,1.59
93,JP3243600008,2017,1.03,4.24,1.53
94,JP3298400007,2014,3.82,8.26,12.2
94,JP3298400007,2015,4.88,7.54,26.33
94,JP3298400007,2016,5.07,6.73,35.01
94,JP3298400007,2017,5.02,8.55,23.4
95,JP3522200009,2014,0.81,0.52,307.45
95,JP3522200009,2015,1.13,1.61,318.4
95,JP3522200009,2016,0.83,1.38,322.9
95,JP3522200009,2017,0.74,0.85,355.88
96,JP3352400000,2014,1.02,4.99,36.84
96,JP3352400000,2015,1.29,4.51,29.41
96,JP3352400000,2016,0.81,3.31,30.25
96,JP3352400000,2017,0.91,4.27,22.87
97,JP3528600004,2014,1.46,2.98,5.81
97,JP3528600004,2015,1.42,2.25,5.38
97,JP3528600004,2016,1.34,0.66,5.2
97,JP3528600004,2017,1.09,-8.31,6.6
98,JP3311400000,2014,4.12,10.66,0.05
98,JP3311400000,2015,5.79,12.96,0.28
98,JP3311400000,2016,4.13,9.62,1.45
98,JP3311400000,2017,5.72,2.56,1.54
99,JP3475350009,2014,0.91,4.12,43.56
99,JP3475350009,2015,1.31,17.61,17.23
99,JP3475350009,2016,1.47,4.4,16.54
99,JP3475350009,2017,1.41,2.95,23.99
100,JP3481800005,2014,1.6,5.24,86.4
100,JP3481800005,2015,2.57,5.88,64.58
100,JP3481800005,2016,2.42,6.42,59.97
100,JP3481800005,2017,2.42,7.09,54.77
101,JP3440400004,2014,1.07,2.03,380.41
101,JP3440400004,2015,1.07,2.74,242.81
101,JP3440400004,2016,0.94,2.72,222.17
101,JP3440400004,2017,1.16,2.22,195.03
102,JP3548660004,2014,0.61,3.47,73.33
102,JP3548660004,2015,0.9,2.88,61.89
102,JP3548660004,2016,0.62,3.25,80.56
102,JP3548660004,2017,0.77,3.35,78.28
103,JP3476480003,2014,1.62,0.21,73.93
103,JP3476480003,2015,2.35,0.33,83.41
103,JP3476480003,2016,1.32,0.36,78.18
103,JP3476480003,2017,1.4,0.45,143.51
104,JP3500610005,2014,0.73,0.55,269.1
104,JP3500610005,2015,0.96,0.5,227.34
104,JP3500610005,2016,0.54,0.42,361.67
104,JP3500610005,2017,0.63,0.35,183.3
105,JP3485800001,2014,0.96,4.86,39.4
105,JP3485800001,2015,1.64,6,26.82
105,JP3485800001,2016,1.25,7.32,21.12
105,JP3485800001,2017,1.16,7.59,19.56
106,JP3496400007,2014,1.51,7.44,40.51
