No,ISIN CODE,Year,NET CASH FLOW - FINANCING,INCREASE/DECREASE IN CASH/SHOR,NET CASH FLOW - INVESTING,NET CASH FLOW-OPERATING ACTIVS,"PROPERTY, PLANT & EQUIP - NET",CASH DIVIDENDS PAID - TOTAL,CASH & SHORT TERM INVESTMENTS,CASH,TOTAL DEBT,TOTAL CAPITAL,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,WORKING CAPITAL,TOTAL ASSETS,RETAINED EARNINGS,EARNINGS BEF INTEREST & TAXES,TOTAL LIABILITIES,NET SALES OR REVENUES,FREE CASH FLOW,CASH - GENERIC,BOOK VALUE PER SHARE,OPERATING INCOME,DEPRECIATION,AMORT & IMPAIR OF GOODWILL,AMORTIZATION OF DEFERRED CHARG,AMORTIZATION-INTANGIBLE ASSETS,AMORTIZATION OF INTANGIBLES,DEPRECIATION/DEPLETION/AMORT,SALARIES & BENEFITS EXPENSES,Salaries and Wages from CSR reporting,RESEARCH & DEVELOPMENT
56,JP3117700009,2023,-1974524000,-2462319000,508666000,20855000,101567000,11881000,,,2792532000,1227410000,489312.4,904748000,,21367454000,622907000,50917000,20462122000,325350000,47523000,4821759000,849.98,46632000,,-158000,,,,8955000,52628000,,
56,JP3117700009,2024,252080000,-380835000,613522000,-19393000,102511000,12085000,,,2774267000,1356076000,649389.6,989367000,,21783256000,654362000,69904000,20793462000,307609000,-19393000,4441684000,973.592,63042000,,-158000,,,,9120000,50746000,,
57,JP3126400005,2014,4994000,46100000,22813000,57915000,133779000,0,122738000,122738000,140011000,319743000,378733.8,137483000,156278000,507668000,78339000,32391000,277288000,684362000,55951000,122738000,767.013,28528000,,,,,,24527000,40918000,,32987000
57,JP3126400005,2015,-27951000,12060000,29772000,65110000,140942000,1792000,134783000,134783000,120443000,331485000,753690.8,179621000,160063000,565142000,108427000,55291000,281442000,748614000,68910000,134783000,1002.097,53534000,,,,,,28010000,42235000,,33035000
57,JP3126400005,2016,-36340000,-17454000,30383000,54083000,144167000,3713000,117543000,117543000,57532000,353310000,483825.7,228676000,175567000,557982000,143829000,68898000,226218000,774038000,46205000,117543000,1167.321,52327000,,,,,,30725000,43109000,,33336000
57,JP3126400005,2017,-309000,1148000,37981000,41601000,149785000,5877000,118968000,118968000,65940000,388915000,734360.3,254749000,191629000,591922000,172925000,50000000,230808000,753262000,43462000,118968000,1300.363,44373000,,,,,,33076000,42043000,,32279000
57,JP3126400005,2018,-2957000,2786000,66722000,70386000,185891000,6268000,121554000,121554000,72979000,451443000,528818.9,301510000,212206000,662047000,214123000,65990000,246175000,858317000,89752000,121554000,1539.069,71907000,,,,,,36004000,43732000,,29799000
57,JP3126400005,2019,-6910000,-2459000,67405000,72671000,187646000,8815000,122079000,122079000,111885000,468454000,524301.5,365708000,214876000,659117000,227439000,42486000,263757000,851332000,77996000,122079000,1733.07,49641000,,,,,,44188000,42816000,,32886000
57,JP3126400005,2020,-31601000,9898000,42419000,87988000,177865000,9368000,129598000,129598000,104977000,402989000,315545.7,324743000,171149000,618582000,206769000,16866000,262967000,810570000,54275000,129598000,1588.417,26795000,,,,,,46057000,41936000,,37667000
57,JP3126400005,2021,14515000,23530000,41165000,42872000,181270000,4089000,153067000,153067000,123523000,449595000,248226.4,345135000,200861000,687347000,198711000,5767000,308968000,718013000,33721000,153067000,1666.315,12371000,,,,,,41336000,40488000,,31085000
57,JP3126400005,2022,-13539000,-13260000,45507000,34495000,191260000,4143000,139730000,139730000,121170000,487457000,273882.3,389607000,224770000,737153000,217277000,39387000,311845000,802854000,16250000,139730000,1880.293,34552000,,,,,,45705000,42226000,,30688000
57,JP3126400005,2023,-742000,-55595000,54205000,-6382000,158545000,6181000,84173000,84173000,122279000,444755000,266646,398217000,201945000,729957000,222490000,28043000,330175000,933114000,45497000,84173000,1937.989,33087000,,,,,,46836000,43418000,,31910000
57,JP3126400005,2024,-1808000,39404000,55095000,89172000,134211000,8221000,122667000,122667000,129599000,471881000,353481.6,391176000,243747000,737011000,184417000,-13362000,344187000,964090000,74694000,122667000,1902.76,19283000,,,,,,41464000,47197000,,32959000
58,JP3126340003,2014,-8643000,-57178000,21769000,-26835000,110467000,5312000,156021000,121025000,7211000,309774000,328319.3,305234000,123155000,1169067000,159954000,43367000,863631000,2504504000,43335000,156021000,1379.046,34834000,7302000,1140000,1569000,2709000,1140000,10011000,73603000,,1088000
58,JP3126340003,2015,-8011000,21445000,6583000,35997000,118766000,6118000,167311000,105311000,6339000,358424000,554171.1,352520000,132369000,1220515000,177061000,37353000,866392000,2421162000,21754000,167311000,1576.075,29222000,,1116000,1620000,,,9374000,72988000,,1067000
58,JP3126340003,2016,-25996000,-1803000,15245000,39454000,130489000,7094000,160174000,118174000,7110000,373383000,418566,366542000,129623000,1252508000,205784000,54215000,883781000,2576405000,48552000,160174000,1691.633,45272000,,1632000,,,,10850000,79078000,,1123000
58,JP3126340003,2017,-11807000,9092000,13409000,34340000,133196000,7367000,168430000,164430000,6555000,398080000,535840.1,392335000,148296000,1255080000,229115000,44788000,861530000,2551801000,50403000,168430000,1810.677,33228000,,1866000,,,,11017000,76999000,,1137000
58,JP3126340003,2018,-9865000,28038000,10154000,48042000,136886000,8233000,195884000,191874000,6653000,440318000,717978.3,434769000,172780000,1342518000,257016000,51661000,906584000,2602917000,33887000,195884000,2006.534,41756000,,1306000,,,,10564000,77591000,,1156000
58,JP3126340003,2019,-24860000,9492000,12947000,47311000,141528000,9413000,206310000,206300000,6753000,446500000,570857.7,440899000,176873000,1338345000,288129000,61319000,896289000,2640511000,3131000,206310000,2082.909,44770000,,1245000,,,,10768000,79090000,,1247000
58,JP3126340003,2020,-12617000,4181000,17024000,33830000,152178000,10372000,210557000,210547000,7168000,479771000,474735.5,473702000,197433000,1350544000,317752000,59331000,875646000,2698511000,48198000,210557000,2237.891,47645000,,892000,,,,11777000,77368000,,1400000
58,JP3126340003,2021,-14472000,-40204000,4732000,-21004000,158943000,10795000,170336000,170277000,6172000,494187000,403055.1,489736000,208551000,1315552000,331459000,36616000,825595000,2603169000,17467000,170336000,2313.652,20672000,,627000,,,,11868000,75251000,,1438000
58,JP3126340003,2022,-29151000,10048000,-2304000,36828000,162758000,11430000,180436000,180436000,5039000,475079000,325152.4,471594000,213658000,1303136000,352015000,48253000,831301000,2585643000,26381000,180436000,2330.36,29091000,,624000,,,,12824000,74289000,,1370000
58,JP3126340003,2023,-12918000,-20332000,20539000,13086000,176821000,11138000,160122000,160122000,3855000,490796000,492596.9,488091000,208795000,1338951000,366649000,38655000,850616000,2696069000,66537000,160122000,2411.886,30148000,,498000,,,,13302000,74144000,,2090000
58,JP3126340003,2024,-19698000,53539000,14217000,87415000,181601000,12245000,213756000,213756000,34937000,513231000,447059.3,479600000,214244000,1446165000,384507000,43927000,966306000,2858500000,87415000,213756000,2566.506,38460000,,498000,,,,13514000,80371000,,2202000
59,JP3122800000,2014,2360000,24689000,7622000,25981000,126294000,4203000,107565000,70211000,33850000,420600000,388820.9,414459000,238446000,546737000,210814000,22146000,129735000,256482000,20738000,107565000,1084.002,16225000,,735000,3303000,,,8604000,29466000,,9048000
59,JP3122800000,2015,-17866000,7783000,1790000,25444000,129511000,9805000,113942000,80203000,39549000,432836000,428630.6,423425000,251599000,567941000,208553000,31363000,141460000,286527000,40507000,113942000,1133.794,27694000,4429000,,,4123000,4123000,8552000,32200000,,8332000
59,JP3122800000,2016,-24836000,3917000,21845000,52933000,124733000,10690000,131185000,79434000,34111000,427425000,456384.8,416255000,254424000,557778000,217326000,43398000,138398000,304018000,37461000,131185000,1139.369,42526000,,,,,,8849000,33881000,,7766000
59,JP3122800000,2017,-27972000,-23512000,18005000,24192000,132009000,16045000,106030000,75503000,17452000,423499000,550535.4,416833000,235166000,527468000,226536000,36385000,107498000,278840000,42326000,106030000,1139.968,33030000,4826000,,,4123000,4123000,8949000,33058000,,7112000
59,JP3122800000,2018,-17184000,-10984000,26950000,32406000,136813000,13878000,97378000,75964000,13635000,444279000,419329.5,435672000,235759000,551296000,242451000,43366000,112433000,300655000,20385000,97378000,1190.981,37965000,,,,,,10080000,32896000,,6838000
59,JP3122800000,2019,-31876000,-24169000,31189000,39981000,130595000,15705000,76234000,56295000,9922000,449953000,465665.5,441549000,221167000,552838000,243715000,48023000,107441000,338175000,39710000,76234000,1238.179,44483000,8603000,,0,,3571000,12174000,73427000,,7172000
59,JP3122800000,2020,-18929000,-9128000,20944000,32453000,154907000,17514000,62903000,47167000,21232000,438902000,336490.8,431092000,199535000,545099000,248514000,33930000,110550000,320112000,44982000,62903000,1239.961,32525000,11231000,,0,,4697000,15928000,73259000,,6789000
59,JP3122800000,2021,-22896000,28700000,8727000,57579000,160270000,13564000,101547000,75868000,14910000,454503000,421601,447077000,221891000,551174000,252315000,28965000,100361000,250448000,66219000,101547000,1285.953,13792000,12281000,,0,,4578000,16859000,61368000,,4823000
59,JP3122800000,2022,-22308000,30923000,7921000,56864000,164429000,11131000,130179000,106791000,7066000,486278000,377788.9,479788000,252477000,609096000,269069000,40639000,125062000,312658000,34422000,130179000,1380.05,38711000,12846000,,0,4763000,4763000,17609000,70384000,,5949000
59,JP3122800000,2023,-20392000,-8235000,13323000,24950000,176668000,14920000,123493000,98556000,5324000,509188000,533465.3,504128000,277703000,636438000,288301000,49831000,127917000,365687000,26784000,123493000,1450.074,49034000,13121000,,0,,4367000,17488000,80365000,,6554000
59,JP3122800000,2024,-38145000,-5135000,15188000,47596000,183700000,17570000,126414000,93420000,8236000,534396000,532992.2,529661000,300963000,668665000,311077000,58360000,134269000,403500000,56877000,126414000,1584.102,55318000,14193000,,0,,4089000,18282000,89357000,,6710000
